post_id,split,text,tokens,label,target_groups,rationale_mask,rationale_tokens,annotator_id,n_tokens,n_rationale_tokens,has_rationale,majority_label,majority_rationale_mask,majority_rationale_tokens
1179085312976445440_twitter,val,this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches,"[""this"", ""bitch"", ""in"", ""whataburger"", ""eating"", ""a"", ""burger"", ""with"", ""no"", ""top"", ""bun"", ""and"", ""holding"", ""it"", ""palm"", ""up"", ""i"", ""hate"", ""white"", ""bitches""]",hatespeech,Caucasian,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[""bitch"", ""i"", ""hate"", ""white""]",4,20,4,True,hatespeech,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[""bitch"", ""i"", ""hate"", ""white"", ""bitches""]"
1179085312976445440_twitter,val,this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches,"[""this"", ""bitch"", ""in"", ""whataburger"", ""eating"", ""a"", ""burger"", ""with"", ""no"", ""top"", ""bun"", ""and"", ""holding"", ""it"", ""palm"", ""up"", ""i"", ""hate"", ""white"", ""bitches""]",hatespeech,Caucasian,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[""i"", ""hate"", ""white"", ""bitches""]",2,20,4,True,hatespeech,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[""bitch"", ""i"", ""hate"", ""white"", ""bitches""]"
1179085312976445440_twitter,val,this bitch in whataburger eating a burger with no top bun and holding it palm up i hate white bitches,"[""this"", ""bitch"", ""in"", ""whataburger"", ""eating"", ""a"", ""burger"", ""with"", ""no"", ""top"", ""bun"", ""and"", ""holding"", ""it"", ""palm"", ""up"", ""i"", ""hate"", ""white"", ""bitches""]",offensive,Caucasian,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[""bitch"", ""i"", ""hate"", ""white"", ""bitches""]",3,20,5,True,hatespeech,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[""bitch"", ""i"", ""hate"", ""white"", ""bitches""]"
14104384_gab,train,why does anyone care what the albino nigger has to say,"[""why"", ""does"", ""anyone"", ""care"", ""what"", ""the"", ""albino"", ""nigger"", ""has"", ""to"", ""say""]",hatespeech,Caucasian,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[""albino"", ""nigger""]",4,11,2,True,hatespeech,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[""albino"", ""nigger""]"
14104384_gab,train,why does anyone care what the albino nigger has to say,"[""why"", ""does"", ""anyone"", ""care"", ""what"", ""the"", ""albino"", ""nigger"", ""has"", ""to"", ""say""]",offensive,Caucasian,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[""albino"", ""nigger""]",13,11,2,True,hatespeech,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[""albino"", ""nigger""]"
6645386_gab,val,mudshark and black diversity,"[""mudshark"", ""and"", ""black"", ""diversity""]",offensive,Caucasian,"[1, 0, 0, 0]","[""mudshark""]",6,4,1,True,offensive,"[1, 0, 0, 0]","[""mudshark""]"
1178571782313463810_twitter,train,<user> bernardo is just a white honky,"[""<user>"", ""bernardo"", ""is"", ""just"", ""a"", ""white"", ""honky""]",hatespeech,Caucasian,"[0, 0, 0, 0, 0, 1, 1]","[""white"", ""honky""]",21,7,2,True,hatespeech,"[0, 0, 0, 0, 0, 1, 1]","[""white"", ""honky""]"
1178571782313463810_twitter,train,<user> bernardo is just a white honky,"[""<user>"", ""bernardo"", ""is"", ""just"", ""a"", ""white"", ""honky""]",hatespeech,Caucasian,"[0, 0, 0, 0, 0, 1, 1]","[""white"", ""honky""]",4,7,2,True,hatespeech,"[0, 0, 0, 0, 0, 1, 1]","[""white"", ""honky""]"
1178501413346906113_twitter,test,also in this same vibe any wigger who calls white missionaries who save the lives of non white children in africa india ect a race traitor is an actual h0m0,"[""also"", ""in"", ""this"", ""same"", ""vibe"", ""any"", ""wigger"", ""who"", ""calls"", ""white"", ""missionaries"", ""who"", ""save"", ""the"", ""lives"", ""of"", ""non"", ""white"", ""children"", ""in"", ""africa"", ""india"", ""ect"", ""a"", ""race"", ""traitor"", ""is"", ""an"", ""actual"", ""h0m0""]",offensive,Caucasian,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[""wigger"", ""h0m0""]",4,30,2,True,offensive,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[""wigger"", ""h0m0""]"
1178501413346906113_twitter,test,also in this same vibe any wigger who calls white missionaries who save the lives of non white children in africa india ect a race traitor is an actual h0m0,"[""also"", ""in"", ""this"", ""same"", ""vibe"", ""any"", ""wigger"", ""who"", ""calls"", ""white"", ""missionaries"", ""who"", ""save"", ""the"", ""lives"", ""of"", ""non"", ""white"", ""children"", ""in"", ""africa"", ""india"", ""ect"", ""a"", ""race"", ""traitor"", ""is"", ""an"", ""actual"", ""h0m0""]",offensive,Caucasian,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[""wigger"", ""h0m0""]",17,30,2,True,offensive,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[""wigger"", ""h0m0""]"
