post_id,split,text,tokens,label,target_groups,rationale_mask,rationale_tokens,annotator_id,n_tokens,n_rationale_tokens,has_rationale,majority_label,majority_rationale_mask,majority_rationale_tokens
13851720_gab,test,laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,"[""laura"", ""loomer"", ""raped"", ""me"", ""while"", ""screaming"", ""at"", ""me"", ""in"", ""her"", ""disgusting"", ""kike"", ""language"", ""and"", ""said"", ""we"", ""must"", ""exterminate"", ""the"", ""goyim"", ""laura"", ""loomer"", ""loomergate""]",hatespeech,Jewish,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","[""disgusting"", ""kike"", ""language"", ""exterminate"", ""the"", ""goyim""]",1,23,6,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","[""disgusting"", ""kike"", ""language"", ""exterminate"", ""the"", ""goyim""]"
13851720_gab,test,laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,"[""laura"", ""loomer"", ""raped"", ""me"", ""while"", ""screaming"", ""at"", ""me"", ""in"", ""her"", ""disgusting"", ""kike"", ""language"", ""and"", ""said"", ""we"", ""must"", ""exterminate"", ""the"", ""goyim"", ""laura"", ""loomer"", ""loomergate""]",hatespeech,Jewish,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""disgusting"", ""kike"", ""language""]",2,23,3,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","[""disgusting"", ""kike"", ""language"", ""exterminate"", ""the"", ""goyim""]"
13851720_gab,test,laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,"[""laura"", ""loomer"", ""raped"", ""me"", ""while"", ""screaming"", ""at"", ""me"", ""in"", ""her"", ""disgusting"", ""kike"", ""language"", ""and"", ""said"", ""we"", ""must"", ""exterminate"", ""the"", ""goyim"", ""laura"", ""loomer"", ""loomergate""]",hatespeech,Jewish,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","[""kike"", ""language"", ""exterminate"", ""the"", ""goyim""]",3,23,5,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","[""disgusting"", ""kike"", ""language"", ""exterminate"", ""the"", ""goyim""]"
14567516_gab,train,nogs jews and dykes how enriching,"[""nogs"", ""jews"", ""and"", ""dykes"", ""how"", ""enriching""]",offensive,Jewish,"[1, 1, 1, 1, 0, 0]","[""nogs"", ""jews"", ""and"", ""dykes""]",4,6,4,True,offensive,"[1, 1, 1, 1, 0, 0]","[""nogs"", ""jews"", ""and"", ""dykes""]"
14567516_gab,train,nogs jews and dykes how enriching,"[""nogs"", ""jews"", ""and"", ""dykes"", ""how"", ""enriching""]",hatespeech,Jewish,"[1, 1, 0, 1, 0, 0]","[""nogs"", ""jews"", ""dykes""]",3,6,3,True,offensive,"[1, 1, 1, 1, 0, 0]","[""nogs"", ""jews"", ""and"", ""dykes""]"
14567516_gab,train,nogs jews and dykes how enriching,"[""nogs"", ""jews"", ""and"", ""dykes"", ""how"", ""enriching""]",offensive,Jewish,"[1, 1, 1, 1, 0, 0]","[""nogs"", ""jews"", ""and"", ""dykes""]",5,6,4,True,offensive,"[1, 1, 1, 1, 0, 0]","[""nogs"", ""jews"", ""and"", ""dykes""]"
19679648_gab,train,guilty until proven innocent unless you are a jew a nigger or a lover of both,"[""guilty"", ""until"", ""proven"", ""innocent"", ""unless"", ""you"", ""are"", ""a"", ""jew"", ""a"", ""nigger"", ""or"", ""a"", ""lover"", ""of"", ""both""]",hatespeech,Jewish,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[""unless"", ""you"", ""are"", ""a"", ""jew"", ""a"", ""nigger"", ""or"", ""a"", ""lover"", ""of"", ""both""]",4,16,12,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[""jew"", ""nigger""]"
19679648_gab,train,guilty until proven innocent unless you are a jew a nigger or a lover of both,"[""guilty"", ""until"", ""proven"", ""innocent"", ""unless"", ""you"", ""are"", ""a"", ""jew"", ""a"", ""nigger"", ""or"", ""a"", ""lover"", ""of"", ""both""]",hatespeech,Jewish,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[""jew"", ""nigger""]",3,16,2,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[""jew"", ""nigger""]"
18696652_gab,train,<user> condoning drug use not kike at all thanks for that disclosure,"[""<user>"", ""condoning"", ""drug"", ""use"", ""not"", ""kike"", ""at"", ""all"", ""thanks"", ""for"", ""that"", ""disclosure""]",hatespeech,Jewish,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[""kike""]",4,12,1,True,offensive,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[""kike""]"
18696652_gab,train,<user> condoning drug use not kike at all thanks for that disclosure,"[""<user>"", ""condoning"", ""drug"", ""use"", ""not"", ""kike"", ""at"", ""all"", ""thanks"", ""for"", ""that"", ""disclosure""]",offensive,Jewish,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[""kike""]",10,12,1,True,offensive,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[""kike""]"
