post_id,split,text,tokens,label,target_groups,rationale_mask,rationale_tokens,annotator_id,n_tokens,n_rationale_tokens,has_rationale,majority_label,majority_rationale_mask,majority_rationale_tokens
22421440_gab,train,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,"[""if"", ""i"", ""hear"", ""the"", ""phrase"", ""white"", ""privilege"", ""one"", ""more"", ""time"", ""i"", ""am"", ""going"", ""to"", ""opt"", ""to"", ""come"", ""back"", ""in"", ""my"", ""next"", ""life"", ""as"", ""a"", ""black"", ""hispanic"", ""latino"", ""illegal"", ""muslim"", ""jewish"", ""faggot"", ""feminist"", ""queer"", ""gay"", ""lesbian"", ""dike"", ""transgender"", ""piece"", ""of"", ""shit"", ""in"", ""other"", ""words"", ""everything"", ""i"", ""have"", ""not"", ""been"", ""in"", ""this"", ""life""]",hatespeech,Refugee,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""illegal"", ""muslim"", ""faggot"", ""queer"", ""dike""]",24,51,5,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""illegal"", ""muslim"", ""jewish"", ""faggot"", ""feminist"", ""queer"", ""gay"", ""dike"", ""transgender"", ""piece"", ""of"", ""shit""]"
22421440_gab,train,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,"[""if"", ""i"", ""hear"", ""the"", ""phrase"", ""white"", ""privilege"", ""one"", ""more"", ""time"", ""i"", ""am"", ""going"", ""to"", ""opt"", ""to"", ""come"", ""back"", ""in"", ""my"", ""next"", ""life"", ""as"", ""a"", ""black"", ""hispanic"", ""latino"", ""illegal"", ""muslim"", ""jewish"", ""faggot"", ""feminist"", ""queer"", ""gay"", ""lesbian"", ""dike"", ""transgender"", ""piece"", ""of"", ""shit"", ""in"", ""other"", ""words"", ""everything"", ""i"", ""have"", ""not"", ""been"", ""in"", ""this"", ""life""]",hatespeech,Refugee,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""black"", ""hispanic"", ""latino"", ""illegal"", ""muslim"", ""jewish"", ""faggot"", ""feminist"", ""queer"", ""gay"", ""lesbian"", ""dike"", ""transgender"", ""piece"", ""of"", ""shit""]",4,51,16,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""illegal"", ""muslim"", ""jewish"", ""faggot"", ""feminist"", ""queer"", ""gay"", ""dike"", ""transgender"", ""piece"", ""of"", ""shit""]"
26478596_gab,train,hop sing no jew yes but i bet they looked for a jew to play his part then came to conclusion we can not find a jew that will fit the role okay let us get a gook at minimum wage,"[""hop"", ""sing"", ""no"", ""jew"", ""yes"", ""but"", ""i"", ""bet"", ""they"", ""looked"", ""for"", ""a"", ""jew"", ""to"", ""play"", ""his"", ""part"", ""then"", ""came"", ""to"", ""conclusion"", ""we"", ""can"", ""not"", ""find"", ""a"", ""jew"", ""that"", ""will"", ""fit"", ""the"", ""role"", ""okay"", ""let"", ""us"", ""get"", ""a"", ""gook"", ""at"", ""minimum"", ""wage""]",hatespeech,Refugee,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[""gook""]",38,41,1,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[""gook""]"
1178668370209771522_twitter,train,why are we having all these people from shithole countries coming here,"[""why"", ""are"", ""we"", ""having"", ""all"", ""these"", ""people"", ""from"", ""shithole"", ""countries"", ""coming"", ""here""]",hatespeech,Refugee,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[""shithole""]",9,12,1,True,hatespeech,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[""people"", ""from"", ""shithole"", ""countries""]"
1178668370209771522_twitter,train,why are we having all these people from shithole countries coming here,"[""why"", ""are"", ""we"", ""having"", ""all"", ""these"", ""people"", ""from"", ""shithole"", ""countries"", ""coming"", ""here""]",offensive,Refugee,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[""people"", ""from"", ""shithole"", ""countries""]",4,12,4,True,hatespeech,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[""people"", ""from"", ""shithole"", ""countries""]"
12290514_gab,test,france problems are not going to fix themselves and this attack was just the tip of the iceberg uncontrolled immigration has been an ongoing issue in france for over a decade the only longstanding solution would be to deport every last moslem back to their home countries mega,"[""france"", ""problems"", ""are"", ""not"", ""going"", ""to"", ""fix"", ""themselves"", ""and"", ""this"", ""attack"", ""was"", ""just"", ""the"", ""tip"", ""of"", ""the"", ""iceberg"", ""uncontrolled"", ""immigration"", ""has"", ""been"", ""an"", ""ongoing"", ""issue"", ""in"", ""france"", ""for"", ""over"", ""a"", ""decade"", ""the"", ""only"", ""longstanding"", ""solution"", ""would"", ""be"", ""to"", ""deport"", ""every"", ""last"", ""moslem"", ""back"", ""to"", ""their"", ""home"", ""countries"", ""mega""]",offensive,Refugee,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[""uncontrolled"", ""immigration"", ""deport"", ""every"", ""last"", ""moslem""]",7,48,6,True,offensive,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[""deport"", ""every"", ""last"", ""moslem""]"
15239458_gab,test,whitey prevails for a change miss south africa beats out a nig two spics and a gook to win miss u,"[""whitey"", ""prevails"", ""for"", ""a"", ""change"", ""miss"", ""south"", ""africa"", ""beats"", ""out"", ""a"", ""nig"", ""two"", ""spics"", ""and"", ""a"", ""gook"", ""to"", ""win"", ""miss"", ""u""]",hatespeech,Refugee,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[""nig"", ""spics"", ""gook""]",67,21,3,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[""nig"", ""spics"", ""gook""]"
14968030_gab,train,<user> we work several days out of your year to support the illegals kids and nigger babies in those government schools which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions,"[""<user>"", ""we"", ""work"", ""several"", ""days"", ""out"", ""of"", ""your"", ""year"", ""to"", ""support"", ""the"", ""illegals"", ""kids"", ""and"", ""nigger"", ""babies"", ""in"", ""those"", ""government"", ""schools"", ""which"", ""is"", ""why"", ""i"", ""am"", ""a"", ""big"", ""advocate"", ""for"", ""homeschooling"", ""responsible"", ""white"", ""parents"", ""should"", ""never"", ""allow"", ""their"", ""kids"", ""to"", ""attend"", ""these"", ""institutions""]",hatespeech,Refugee,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""support"", ""the"", ""illegals"", ""kids"", ""and"", ""nigger"", ""babies""]",4,43,7,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""illegals"", ""nigger""]"
14968030_gab,train,<user> we work several days out of your year to support the illegals kids and nigger babies in those government schools which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions,"[""<user>"", ""we"", ""work"", ""several"", ""days"", ""out"", ""of"", ""your"", ""year"", ""to"", ""support"", ""the"", ""illegals"", ""kids"", ""and"", ""nigger"", ""babies"", ""in"", ""those"", ""government"", ""schools"", ""which"", ""is"", ""why"", ""i"", ""am"", ""a"", ""big"", ""advocate"", ""for"", ""homeschooling"", ""responsible"", ""white"", ""parents"", ""should"", ""never"", ""allow"", ""their"", ""kids"", ""to"", ""attend"", ""these"", ""institutions""]",hatespeech,Refugee,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""illegals"", ""nigger""]",25,43,2,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""illegals"", ""nigger""]"
11313761_gab,train,<user> i could not quit laughing at it yesterday white cucks out in their bass boats risking their lives to save the niggers and mexicans seriously fuck those cucks fuck the brown people and fuck all the non texans who have moved in there oh and fuck the nigger mayor,"[""<user>"", ""i"", ""could"", ""not"", ""quit"", ""laughing"", ""at"", ""it"", ""yesterday"", ""white"", ""cucks"", ""out"", ""in"", ""their"", ""bass"", ""boats"", ""risking"", ""their"", ""lives"", ""to"", ""save"", ""the"", ""niggers"", ""and"", ""mexicans"", ""seriously"", ""fuck"", ""those"", ""cucks"", ""fuck"", ""the"", ""brown"", ""people"", ""and"", ""fuck"", ""all"", ""the"", ""non"", ""texans"", ""who"", ""have"", ""moved"", ""in"", ""there"", ""oh"", ""and"", ""fuck"", ""the"", ""nigger"", ""mayor""]",hatespeech,Refugee,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[""fuck"", ""the"", ""brown"", ""people"", ""and"", ""fuck"", ""all"", ""the"", ""non"", ""texans"", ""fuck"", ""the"", ""nigger"", ""mayor""]",18,50,14,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[""niggers"", ""fuck"", ""the"", ""brown"", ""people"", ""fuck"", ""the"", ""nigger"", ""mayor""]"
4583348_gab,train,the libtard setback for the moslem refugee ban just tells trump what needs to be corrected and who fucking things up for the american people when scalia replacement is named it back to the ban,"[""the"", ""libtard"", ""setback"", ""for"", ""the"", ""moslem"", ""refugee"", ""ban"", ""just"", ""tells"", ""trump"", ""what"", ""needs"", ""to"", ""be"", ""corrected"", ""and"", ""who"", ""fucking"", ""things"", ""up"", ""for"", ""the"", ""american"", ""people"", ""when"", ""scalia"", ""replacement"", ""is"", ""named"", ""it"", ""back"", ""to"", ""the"", ""ban""]",offensive,Refugee,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""moslem"", ""refugee"", ""ban""]",3,35,3,True,offensive,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""moslem"", ""refugee"", ""ban""]"
4583348_gab,train,the libtard setback for the moslem refugee ban just tells trump what needs to be corrected and who fucking things up for the american people when scalia replacement is named it back to the ban,"[""the"", ""libtard"", ""setback"", ""for"", ""the"", ""moslem"", ""refugee"", ""ban"", ""just"", ""tells"", ""trump"", ""what"", ""needs"", ""to"", ""be"", ""corrected"", ""and"", ""who"", ""fucking"", ""things"", ""up"", ""for"", ""the"", ""american"", ""people"", ""when"", ""scalia"", ""replacement"", ""is"", ""named"", ""it"", ""back"", ""to"", ""the"", ""ban""]",hatespeech,Refugee,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""moslem"", ""refugee"", ""ban""]",4,35,3,True,offensive,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""moslem"", ""refugee"", ""ban""]"
