post_id,split,text,tokens,label,target_groups,rationale_mask,rationale_tokens,annotator_id,n_tokens,n_rationale_tokens,has_rationale,majority_label,majority_rationale_mask,majority_rationale_tokens
22421440_gab,train,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,"[""if"", ""i"", ""hear"", ""the"", ""phrase"", ""white"", ""privilege"", ""one"", ""more"", ""time"", ""i"", ""am"", ""going"", ""to"", ""opt"", ""to"", ""come"", ""back"", ""in"", ""my"", ""next"", ""life"", ""as"", ""a"", ""black"", ""hispanic"", ""latino"", ""illegal"", ""muslim"", ""jewish"", ""faggot"", ""feminist"", ""queer"", ""gay"", ""lesbian"", ""dike"", ""transgender"", ""piece"", ""of"", ""shit"", ""in"", ""other"", ""words"", ""everything"", ""i"", ""have"", ""not"", ""been"", ""in"", ""this"", ""life""]",hatespeech,Arab,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""black"", ""hispanic"", ""latino"", ""illegal"", ""muslim"", ""jewish"", ""faggot"", ""feminist"", ""queer"", ""gay"", ""lesbian"", ""dike"", ""transgender"", ""piece"", ""of"", ""shit""]",4,51,16,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""illegal"", ""muslim"", ""jewish"", ""faggot"", ""feminist"", ""queer"", ""gay"", ""dike"", ""transgender"", ""piece"", ""of"", ""shit""]"
12288710_gab,train,<user> white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler,"[""<user>"", ""white"", ""people"", ""have"", ""agency"", ""unlike"", ""mudslime"", ""sandniggers"", ""who"", ""kill"", ""random"", ""pedastrians"", ""without"", ""a"", ""voice"", ""all"", ""that"", ""is"", ""left"", ""is"", ""violence"", ""we"", ""will"", ""come"", ""for"", ""journalists"", ""and"", ""google"", ""executives"", ""first"", ""they"", ""will"", ""regret"", ""what"", ""they"", ""have"", ""done"", ""white"", ""rebellion"", ""free"", ""weev"", ""weev"", ""did"", ""nothing"", ""wrong"", ""just"", ""like"", ""hitler""]",hatespeech,Arab,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[""mudslime"", ""sandniggers"", ""who"", ""kill"", ""random"", ""pedastrians"", ""white"", ""rebellion"", ""weev"", ""did"", ""nothing"", ""wrong"", ""just"", ""like"", ""hitler""]",4,48,15,True,hatespeech,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""mudslime"", ""sandniggers""]"
13534065_gab,train,yet another sand nigger slaughters innocents hey libscum i hope your sweet little tender daughters are next you brought this scum here now live with it,"[""yet"", ""another"", ""sand"", ""nigger"", ""slaughters"", ""innocents"", ""hey"", ""libscum"", ""i"", ""hope"", ""your"", ""sweet"", ""little"", ""tender"", ""daughters"", ""are"", ""next"", ""you"", ""brought"", ""this"", ""scum"", ""here"", ""now"", ""live"", ""with"", ""it""]",hatespeech,Arab,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""sand"", ""nigger""]",26,26,2,True,hatespeech,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""sand"", ""nigger""]"
13534065_gab,train,yet another sand nigger slaughters innocents hey libscum i hope your sweet little tender daughters are next you brought this scum here now live with it,"[""yet"", ""another"", ""sand"", ""nigger"", ""slaughters"", ""innocents"", ""hey"", ""libscum"", ""i"", ""hope"", ""your"", ""sweet"", ""little"", ""tender"", ""daughters"", ""are"", ""next"", ""you"", ""brought"", ""this"", ""scum"", ""here"", ""now"", ""live"", ""with"", ""it""]",hatespeech,Arab,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""another"", ""sand"", ""nigger""]",4,26,3,True,hatespeech,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""sand"", ""nigger""]"
18721090_gab,test,the labour party has <number> mps in prison for paedophilia <number> mps and councillors on the sex registry <number> million white kids raped by paki muslims all labour voters covered up by labour councils mps and a pm,"[""the"", ""labour"", ""party"", ""has"", ""<number>"", ""mps"", ""in"", ""prison"", ""for"", ""paedophilia"", ""<number>"", ""mps"", ""and"", ""councillors"", ""on"", ""the"", ""sex"", ""registry"", ""<number>"", ""million"", ""white"", ""kids"", ""raped"", ""by"", ""paki"", ""muslims"", ""all"", ""labour"", ""voters"", ""covered"", ""up"", ""by"", ""labour"", ""councils"", ""mps"", ""and"", ""a"", ""pm""]",hatespeech,Arab,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""raped"", ""by"", ""paki"", ""muslims""]",40,38,4,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""raped"", ""by"", ""paki"", ""muslims""]"
15885342_gab,train,i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power,"[""i"", ""vote"", ""<number>"", ""genocide"", ""for"", ""the"", ""arab"", ""and"", ""nigger"", ""scum"", ""raping"", ""our"", ""women"", ""killing"", ""our"", ""people"", ""and"", ""destroying"", ""europe"", ""also"", ""include"", ""the"", ""traitors"", ""who"", ""support"", ""the"", ""destruction"", ""of"", ""our"", ""people"", ""and"", ""our"", ""ancestral"", ""homelands"", ""white"", ""power""]",hatespeech,Arab,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""genocide"", ""the"", ""arab"", ""and"", ""nigger""]",41,36,5,True,hatespeech,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""genocide"", ""the"", ""arab"", ""and"", ""nigger"", ""scum""]"
15885342_gab,train,i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power,"[""i"", ""vote"", ""<number>"", ""genocide"", ""for"", ""the"", ""arab"", ""and"", ""nigger"", ""scum"", ""raping"", ""our"", ""women"", ""killing"", ""our"", ""people"", ""and"", ""destroying"", ""europe"", ""also"", ""include"", ""the"", ""traitors"", ""who"", ""support"", ""the"", ""destruction"", ""of"", ""our"", ""people"", ""and"", ""our"", ""ancestral"", ""homelands"", ""white"", ""power""]",hatespeech,Arab,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[""<number>"", ""genocide"", ""for"", ""the"", ""arab"", ""and"", ""nigger"", ""scum"", ""white"", ""power""]",4,36,10,True,hatespeech,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""genocide"", ""the"", ""arab"", ""and"", ""nigger"", ""scum""]"
10945897_gab,train,it a moslem terrorist tactic attack the women then attack the men when they come to help like when a first explosion will cause casualties a secondary explosion will cause more casualties the medical responders and onlookers stay safe always help carry and conceal,"[""it"", ""a"", ""moslem"", ""terrorist"", ""tactic"", ""attack"", ""the"", ""women"", ""then"", ""attack"", ""the"", ""men"", ""when"", ""they"", ""come"", ""to"", ""help"", ""like"", ""when"", ""a"", ""first"", ""explosion"", ""will"", ""cause"", ""casualties"", ""a"", ""secondary"", ""explosion"", ""will"", ""cause"", ""more"", ""casualties"", ""the"", ""medical"", ""responders"", ""and"", ""onlookers"", ""stay"", ""safe"", ""always"", ""help"", ""carry"", ""and"", ""conceal""]",hatespeech,Arab,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""moslem"", ""terrorist"", ""explosion"", ""will"", ""cause"", ""casualties""]",41,44,6,True,hatespeech,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""moslem"", ""terrorist""]"
1178668370209771522_twitter,train,why are we having all these people from shithole countries coming here,"[""why"", ""are"", ""we"", ""having"", ""all"", ""these"", ""people"", ""from"", ""shithole"", ""countries"", ""coming"", ""here""]",hatespeech,Arab,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[""people"", ""from"", ""shithole"", ""countries""]",2,12,4,True,hatespeech,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[""people"", ""from"", ""shithole"", ""countries""]"
18513292_gab,train,lowlife msm trying to link the guy who rammed a van into moslems in nrth londonistan to tommy robinson britain first well if it linking to anti moslem patriots with brains then about <percent> of uk are there,"[""lowlife"", ""msm"", ""trying"", ""to"", ""link"", ""the"", ""guy"", ""who"", ""rammed"", ""a"", ""van"", ""into"", ""moslems"", ""in"", ""nrth"", ""londonistan"", ""to"", ""tommy"", ""robinson"", ""britain"", ""first"", ""well"", ""if"", ""it"", ""linking"", ""to"", ""anti"", ""moslem"", ""patriots"", ""with"", ""brains"", ""then"", ""about"", ""<percent>"", ""of"", ""uk"", ""are"", ""there""]",offensive,Arab,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""msm""]",11,38,1,True,offensive,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""msm"", ""moslems""]"
