post_id,split,text,tokens,label,target_groups,rationale_mask,rationale_tokens,annotator_id,n_tokens,n_rationale_tokens,has_rationale,majority_label,majority_rationale_mask,majority_rationale_tokens
14567516_gab,train,nogs jews and dykes how enriching,"[""nogs"", ""jews"", ""and"", ""dykes"", ""how"", ""enriching""]",offensive,Homosexual,"[1, 1, 1, 1, 0, 0]","[""nogs"", ""jews"", ""and"", ""dykes""]",4,6,4,True,offensive,"[1, 1, 1, 1, 0, 0]","[""nogs"", ""jews"", ""and"", ""dykes""]"
14567516_gab,train,nogs jews and dykes how enriching,"[""nogs"", ""jews"", ""and"", ""dykes"", ""how"", ""enriching""]",hatespeech,Homosexual,"[1, 1, 0, 1, 0, 0]","[""nogs"", ""jews"", ""dykes""]",3,6,3,True,offensive,"[1, 1, 1, 1, 0, 0]","[""nogs"", ""jews"", ""and"", ""dykes""]"
1160287365384101888_twitter,train,anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall,"[""anyway"", ""princess"", ""sapphire"", ""of"", ""silverland"", ""is"", ""a"", ""dyke"", ""and"", ""threw"", ""the"", ""first"", ""brick"", ""at"", ""stonewall""]",offensive,Homosexual,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[""is"", ""a"", ""dyke""]",6,15,3,True,offensive,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[""dyke""]"
1160287365384101888_twitter,train,anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall,"[""anyway"", ""princess"", ""sapphire"", ""of"", ""silverland"", ""is"", ""a"", ""dyke"", ""and"", ""threw"", ""the"", ""first"", ""brick"", ""at"", ""stonewall""]",offensive,Homosexual,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[""dyke""]",7,15,1,True,offensive,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[""dyke""]"
1160287365384101888_twitter,train,anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall,"[""anyway"", ""princess"", ""sapphire"", ""of"", ""silverland"", ""is"", ""a"", ""dyke"", ""and"", ""threw"", ""the"", ""first"", ""brick"", ""at"", ""stonewall""]",offensive,Homosexual,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[""dyke""]",4,15,1,True,offensive,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[""dyke""]"
1178767493952933894_twitter,train,y is big baby davis a faggot on shameless doe,"[""y"", ""is"", ""big"", ""baby"", ""davis"", ""a"", ""faggot"", ""on"", ""shameless"", ""doe""]",offensive,Homosexual,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[""faggot""]",4,10,1,True,offensive,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[""faggot""]"
1178767493952933894_twitter,train,y is big baby davis a faggot on shameless doe,"[""y"", ""is"", ""big"", ""baby"", ""davis"", ""a"", ""faggot"", ""on"", ""shameless"", ""doe""]",offensive,Homosexual,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[""faggot""]",1,10,1,True,offensive,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[""faggot""]"
1178767493952933894_twitter,train,y is big baby davis a faggot on shameless doe,"[""y"", ""is"", ""big"", ""baby"", ""davis"", ""a"", ""faggot"", ""on"", ""shameless"", ""doe""]",offensive,Homosexual,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[""a"", ""faggot""]",19,10,2,True,offensive,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[""faggot""]"
1179089882095874048_twitter,train,you stupid motherfucking dick just why dont you over dribble your ass and get the fuck out of the club you fucking faggot <user>,"[""you"", ""stupid"", ""motherfucking"", ""dick"", ""just"", ""why"", ""dont"", ""you"", ""over"", ""dribble"", ""your"", ""ass"", ""and"", ""get"", ""the"", ""fuck"", ""out"", ""of"", ""the"", ""club"", ""you"", ""fucking"", ""faggot"", ""<user>""]",hatespeech,Homosexual,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]","[""motherfucking"", ""dick"", ""fuck"", ""fucking"", ""faggot""]",21,24,5,True,hatespeech,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[""motherfucking"", ""dick"", ""faggot""]"
1179089882095874048_twitter,train,you stupid motherfucking dick just why dont you over dribble your ass and get the fuck out of the club you fucking faggot <user>,"[""you"", ""stupid"", ""motherfucking"", ""dick"", ""just"", ""why"", ""dont"", ""you"", ""over"", ""dribble"", ""your"", ""ass"", ""and"", ""get"", ""the"", ""fuck"", ""out"", ""of"", ""the"", ""club"", ""you"", ""fucking"", ""faggot"", ""<user>""]",offensive,Homosexual,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[""faggot""]",4,24,1,True,hatespeech,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[""motherfucking"", ""dick"", ""faggot""]"
