post_id,split,text,tokens,label,target_groups,rationale_mask,rationale_tokens,annotator_id,n_tokens,n_rationale_tokens,has_rationale,majority_label,majority_rationale_mask,majority_rationale_tokens
24198545_gab,train,and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,"[""and"", ""this"", ""is"", ""why"", ""i"", ""end"", ""up"", ""with"", ""nigger"", ""trainee"", ""doctors"", ""who"", ""can"", ""not"", ""speak"", ""properly"", ""lack"", ""basic"", ""knowledge"", ""of"", ""biology"", ""it"", ""truly"", ""scary"", ""if"", ""the"", ""public"", ""only"", ""knew""]",hatespeech,African,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[""nigger"", ""who"", ""can"", ""not"", ""speak"", ""properly"", ""lack"", ""basic"", ""knowledge"", ""of"", ""biology""]",4,29,11,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""nigger""]"
24198545_gab,train,and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,"[""and"", ""this"", ""is"", ""why"", ""i"", ""end"", ""up"", ""with"", ""nigger"", ""trainee"", ""doctors"", ""who"", ""can"", ""not"", ""speak"", ""properly"", ""lack"", ""basic"", ""knowledge"", ""of"", ""biology"", ""it"", ""truly"", ""scary"", ""if"", ""the"", ""public"", ""only"", ""knew""]",hatespeech,African,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""nigger""]",3,29,1,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""nigger""]"
24198545_gab,train,and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,"[""and"", ""this"", ""is"", ""why"", ""i"", ""end"", ""up"", ""with"", ""nigger"", ""trainee"", ""doctors"", ""who"", ""can"", ""not"", ""speak"", ""properly"", ""lack"", ""basic"", ""knowledge"", ""of"", ""biology"", ""it"", ""truly"", ""scary"", ""if"", ""the"", ""public"", ""only"", ""knew""]",offensive,African,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""nigger"", ""trainee""]",5,29,2,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""nigger""]"
14567516_gab,train,nogs jews and dykes how enriching,"[""nogs"", ""jews"", ""and"", ""dykes"", ""how"", ""enriching""]",offensive,African,"[1, 1, 1, 1, 0, 0]","[""nogs"", ""jews"", ""and"", ""dykes""]",4,6,4,True,offensive,"[1, 1, 1, 1, 0, 0]","[""nogs"", ""jews"", ""and"", ""dykes""]"
14567516_gab,train,nogs jews and dykes how enriching,"[""nogs"", ""jews"", ""and"", ""dykes"", ""how"", ""enriching""]",hatespeech,African,"[1, 1, 0, 1, 0, 0]","[""nogs"", ""jews"", ""dykes""]",3,6,3,True,offensive,"[1, 1, 1, 1, 0, 0]","[""nogs"", ""jews"", ""and"", ""dykes""]"
19679648_gab,train,guilty until proven innocent unless you are a jew a nigger or a lover of both,"[""guilty"", ""until"", ""proven"", ""innocent"", ""unless"", ""you"", ""are"", ""a"", ""jew"", ""a"", ""nigger"", ""or"", ""a"", ""lover"", ""of"", ""both""]",hatespeech,African,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[""unless"", ""you"", ""are"", ""a"", ""jew"", ""a"", ""nigger"", ""or"", ""a"", ""lover"", ""of"", ""both""]",4,16,12,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[""jew"", ""nigger""]"
19679648_gab,train,guilty until proven innocent unless you are a jew a nigger or a lover of both,"[""guilty"", ""until"", ""proven"", ""innocent"", ""unless"", ""you"", ""are"", ""a"", ""jew"", ""a"", ""nigger"", ""or"", ""a"", ""lover"", ""of"", ""both""]",hatespeech,African,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[""jew"", ""nigger""]",3,16,2,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[""jew"", ""nigger""]"
15858421_gab,val,tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters,"[""tired"", ""i"", ""can"", ""not"", ""support"", ""abortion"", ""from"", ""a"", ""moral"", ""standpoint"", ""wired"", ""i"", ""can"", ""support"", ""it"", ""morally"", ""easy"", ""stop"", ""looking"", ""at"", ""those"", ""little"", ""niglets"", ""as"", ""future"", ""doctors"", ""and"", ""see"", ""them"", ""for"", ""what"", ""they"", ""really"", ""are"", ""future"", ""rapists"", ""of"", ""white"", ""women"", ""and"", ""future"", ""welfare"", ""recipient"", ""of"", ""white"", ""tax"", ""dollars"", ""and"", ""future"", ""democrat"", ""voters""]",hatespeech,African,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[""those"", ""little"", ""niglets"", ""future"", ""rapists"", ""of"", ""white"", ""women"", ""and"", ""future"", ""welfare"", ""recipient"", ""of"", ""white"", ""tax"", ""dollars"", ""and"", ""future"", ""democrat"", ""voters""]",4,51,20,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]","[""niglets"", ""future"", ""rapists"", ""of"", ""white"", ""women"", ""welfare"", ""recipient"", ""white"", ""tax"", ""dollars""]"
15858421_gab,val,tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little niglets as future doctors and see them for what they really are future rapists of white women and future welfare recipient of white tax dollars and future democrat voters,"[""tired"", ""i"", ""can"", ""not"", ""support"", ""abortion"", ""from"", ""a"", ""moral"", ""standpoint"", ""wired"", ""i"", ""can"", ""support"", ""it"", ""morally"", ""easy"", ""stop"", ""looking"", ""at"", ""those"", ""little"", ""niglets"", ""as"", ""future"", ""doctors"", ""and"", ""see"", ""them"", ""for"", ""what"", ""they"", ""really"", ""are"", ""future"", ""rapists"", ""of"", ""white"", ""women"", ""and"", ""future"", ""welfare"", ""recipient"", ""of"", ""white"", ""tax"", ""dollars"", ""and"", ""future"", ""democrat"", ""voters""]",hatespeech,African,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]","[""niglets"", ""future"", ""rapists"", ""of"", ""white"", ""women"", ""welfare"", ""recipient"", ""white"", ""tax"", ""dollars""]",3,51,11,True,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]","[""niglets"", ""future"", ""rapists"", ""of"", ""white"", ""women"", ""welfare"", ""recipient"", ""white"", ""tax"", ""dollars""]"
14104384_gab,train,why does anyone care what the albino nigger has to say,"[""why"", ""does"", ""anyone"", ""care"", ""what"", ""the"", ""albino"", ""nigger"", ""has"", ""to"", ""say""]",hatespeech,African,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[""nigger""]",12,11,1,True,hatespeech,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[""albino"", ""nigger""]"
